;;;;;;;;;;;;;;;;
;Código;Tipo de foco;País;CCAA;Provincia;Comarca Ganadera (en focos nacionales);Región (en focos extranjeros);Municipio;UVL;Enfermedad;Nº de Especies Afectadas;Serotipo;Especie;Sensibles;Afectados;Fecha de confirmación
;2023/116 ;Primario;España;EXTREMADURA;BADAJOZ;BADAJOZ;;Badajoz;Badajoz;Lengua azul;1;04;Bovinos;460;0;21/12/2023
;2023/95  ;Primario;España;EXTREMADURA;CÁCERES;CACERES;;Alcuéscar;Badajoz;Lengua azul;1;04;Silvestres (salvo jabalíes y aves);105;0;29/11/2023
;2023/52  ;Primario;España;EXTREMADURA;BADAJOZ;AZUAGA;;Granja de Torrehermosa;Badajoz;Lengua azul;1;04;Caprinos;9;0;09/10/2023
;2023/51  ;Primario;España;EXTREMADURA;CÁCERES;CORIA;;Coria;Badajoz;Lengua azul;1;04;Bovinos;287;0;09/10/2023
;2023/50  ;Primario;España;EXTREMADURA;CÁCERES;NAVALMORAL DE LA MATA;;Saucedilla;Badajoz;Lengua azul;1;04;Bovinos;132;0;10/10/2023
;2023/49  ;Primario;España;EXTREMADURA;CÁCERES;PLASENCIA;;Carcaboso;Badajoz;Lengua azul;1;04;Bovinos;150;0;09/10/2023
;2023/48  ;Primario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Don Benito;Badajoz;Lengua azul;1;04;Bovinos;187;0;09/10/2023
;2023/47  ;Primario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Garbayuela;Badajoz;Lengua azul;1;04;Bovinos;92;0;09/10/2023
;2023/6   ;Primario;España;EXTREMADURA;BADAJOZ;CASTUERA;;Cabeza del Buey;Badajoz;Lengua azul;1;04;Caprinos;260;3;17/01/2023
;2023/5   ;Primario;España;EXTREMADURA;BADAJOZ;MERIDA;;Villagonzalo;Badajoz;Lengua azul;1;04;Caprinos;33;2;17/01/2023
;2023/4   ;Primario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Garbayuela;Badajoz;Lengua azul;1;04;Bovinos;114;2;17/01/2023
